2224,2213,3393,2693,3209
2272,2276,3444,2831,3222
2390,2399,3458,3071,3299
2589,2598,3315,3200,3423
2780,2807,2822,3271,3527
3041,3093,1826,3399,3517
3025,3093,1362,3376,3231
2582,2633,948,2767,2669
2064,2099,759,1705,2195
1843,1861,657,1121,1916
1337,1340,480,470,1771
881,859,378,411,1824
222,176,208,191,1356
100,50,195,112,1047
194,158,233,159,1233
331,282,295,213,1388
125,71,275,0,1093
256,238,311,0,526
48,0,373,0,241
0,0,419,0,117
33,2,576,0,179
68,48,784,0,247
83,63,887,0,306
61,38,757,0,297
0,0,310,0,97
0,0,274,0,155
4,0,414,0,300
550,562,3217,0,258
720,645,3639,182,2442
972,879,3699,2752,3360
1334,1249,3760,2987,3451
1792,1743,3737,3054,3537
1931,1885,3529,3035,3610
2174,2160,3191,3199,3716
2547,2541,2789,3472,3845
2849,2862,2427,3662,3920
3225,3269,1773,3796,3978
3523,3615,1585,3901,4040
3698,3811,1589,3952,4069
3791,3934,1488,3952,3983
3809,3981,1437,3814,3514
3557,3742,1331,3149,2864
0,0,95,0,441
91,80,394,0,102
37,10,550,0,107
51,39,666,0,112
1081,1108,900,0,239
503,538,464,0,96
1608,1552,640,1397,3317
2881,2906,902,3339,3774
3344,3410,2743,3641,3914
3512,3607,2853,3775,3951
3525,3633,2746,3796,3940
3512,3609,2687,3786,3932
3433,3515,2691,3714,3920
3313,3383,2832,3648,3911
3181,3227,3045,3607,3886
3207,3261,3277,3563,3877
3217,3273,3413,3470,3855
3203,3251,3466,3392,3840
3253,3310,3470,3355,3817
3301,3367,3414,3411,3781
3444,3541,3150,3567,3712
3570,3699,2450,3728,3575
3561,3717,1403,3792,3203
3248,3380,1169,3568,2615
1104,1104,495,27,434
43,19,436,0,157
80,67,749,0,123
94,71,815,0,238
96,70,832,0,351
94,76,846,0,370
107,82,911,0,377
122,102,1003,0,438
148,123,1166,0,454
158,141,1227,0,400
155,137,1238,0,391
163,144,1266,0,435
175,147,1307,0,471
187,164,1359,0,541
196,179,1441,0,528
210,198,1510,0,577
219,194,1522,0,717
231,202,1582,0,803
246,217,1651,0,820
342,331,2177,0,545
578,581,3311,0,656
682,653,3741,17,1436
720,679,3888,85,1833
730,685,3937,101,1968
739,694,3975,111,2034
743,692,3990,91,1943
752,701,4003,131,2160
770,704,3998,192,2520
798,706,3982,271,2992
816,695,3874,2507,3537
1519,1456,3450,3423,3855
2790,2802,2857,3645,3946
3182,3220,1859,3783,3993
3430,3505,1632,3835,3972
3583,3683,1652,3870,4040
3664,3773,1651,3884,4063
3735,3857,1633,3899,4071
3793,3920,1555,3920,4079
3833,3969,1486,3938,4069
3861,4000,1456,3926,4001
3858,4027,1392,3851,3664
3830,4025,1350,3542,3281
3651,3857,1296,2935,2832
2902,3051,933,1405,1606
981,1040,738,0,128
967,1016,629,0,121
267,291,666,0,111
72,52,733,0,109
97,78,865,0,219
115,89,946,0,432
109,90,970,0,287
106,91,978,0,239
111,91,993,0,286
79,51,847,0,270
22,5,560,0,207
9,0,462,0,251
27,0,483,0,496
23,0,551,0,209
301,305,2009,0,187
531,528,3058,1887,571
773,743,3459,3140,1680
1225,1201,3746,3356,2299
1781,1765,3823,3408,2825
1987,1981,3779,3357,3132
2092,2067,3686,3280,3346
2262,2247,3509,3255,3597
2495,2489,3355,3355,3734
2923,2954,2864,3583,3887
3234,3282,2174,3719,3982
3514,3613,1671,3824,4039
3696,3804,1587,3894,4085
3806,3927,1525,3914,4095
3839,3984,1454,3779,3984
3715,3871,1326,3039,3578
74,0,155,89,1840
336,333,176,0,414
0,0,315,0,97
14,0,458,0,96
0,0,369,0,85
0,0,304,0,79
0,0,331,0,150
64,25,599,0,773
573,589,3349,0,272
773,694,3935,223,2691
816,697,3922,343,3472
2425,2416,3853,2970,3845
2903,2928,3465,3439,3939
3282,3342,2483,3648,3970
3541,3648,1699,3760,3984
3655,3767,1641,3839,4003
3759,3888,1658,3911,4016
3820,3952,1717,3950,4034
3861,4009,1674,3966,4043
3882,4039,1436,3962,3909
3858,4058,1322,3805,3440
3728,3969,1281,3068,2706
1217,1242,390,0,112
2011,2138,1008,0,145
1630,1730,1232,0,155
221,208,851,0,112
89,76,777,0,112
71,56,711,0,106
41,21,577,0,97
0,0,380,0,83
30,0,418,0,515
2004,1986,1765,2241,3554
3024,3071,2387,3440,3783
3423,3503,2128,3732,3951
3541,3649,1984,3811,3969
3607,3719,1488,3871,3987
3651,3767,1334,3887,3987
3682,3799,1360,3910,3977
3690,3815,1249,3923,3915
3600,3731,1180,3866,3667
2839,3010,977,3349,847
1765,1871,976,1701,438
69,48,570,0,106
82,73,705,0,114
48,30,560,0,99
14,0,374,0,88
54,22,528,0,403
99,64,736,0,566
48,26,561,0,256
16,0,434,0,89
7,0,403,0,88
0,0,342,0,101
0,0,301,0,79
0,0,208,0,73
0,0,208,0,113
0,0,193,0,247
1163,1119,496,1663,2725
2225,2215,2719,2427,3263
2401,2416,3064,2599,3312
2499,2506,3327,2672,3489
2555,2575,3437,2787,3622
2576,2576,3467,2865,3659
2469,2471,3446,2934,3665
2368,2364,3394,2992,3633
2453,2453,3312,3199,3594
2672,2689,3216,3338,3538
2858,2896,3078,3475,3445
2911,2963,2867,3546,3359
2800,2835,2636,3497,3360
2534,2554,2331,3332,3266
2134,2139,1779,3017,3060
2032,2029,1487,2657,2910
1915,1919,1402,2461,2672
1847,1856,1339,2434,2523
1694,1699,1350,2277,2318
1701,1725,1306,1648,2053
1424,1431,1107,814,2111
1110,1073,926,969,2410
1016,969,836,1426,2449
1043,1009,910,1660,2352
1219,1200,1314,1635,2141
1294,1264,1578,1836,2459
1349,1316,1667,1812,2570
1351,1313,1851,1578,2719
1168,1109,2042,835,2861
1091,1015,2113,496,2922
1088,1015,2235,246,2879
1110,1034,2358,244,2815
1302,1259,2482,235,2753
1648,1626,2529,231,2735
1855,1856,2433,789,2669
